sale_id,order_date,product_id,channel_id,quantity,unit_price,unit_cost,discount_pct,gross_revenue,gross_cost
SL-0000083,2023-02-10,HOM-0032,CH-WE-01,4,30.43,13.87,0.0,121.72,55.48
SL-0000084,2023-02-10,APP-0005,CH-ON-01,3,75.93,38.53,0.0,227.79,115.59
SL-0000085,2023-02-10,APP-0005,CH-WS-01,2,75.93,37.97,0.0,151.86,75.94
SL-0000086,2023-02-11,APP-0005,CH-NE-01,1,75.93,39.2,0.0,75.93,39.2
SL-0000087,2023-02-11,APP-0005,CH-MW-01,3,75.93,38.58,0.0,227.79,115.74
SL-0000088,2023-02-11,HOM-0032,CH-MW-01,2,30.43,14.58,0.0,60.86,29.16
SL-0000089,2023-02-11,APP-0005,CH-WE-01,4,75.93,37.03,0.0,303.72,148.12
SL-0000090,2023-02-11,APP-0005,CH-ON-01,5,75.93,37.31,0.0,379.65,186.55
SL-0000091,2023-02-11,APP-0005,CH-WS-01,4,75.93,37.45,0.0,303.72,149.8
SL-0000092,2023-02-11,HOM-0032,CH-WS-01,7,30.43,14.42,0.0,213.01,100.94
SL-0000093,2023-02-12,APP-0005,CH-WE-01,4,75.93,37.86,0.0,303.72,151.44
SL-0000094,2023-02-12,HOM-0032,CH-ON-01,5,30.43,14.61,0.0,152.15,73.05
SL-0000095,2023-02-13,HOM-0032,CH-MW-01,3,30.43,14.08,0.0,91.29,42.24
SL-0000096,2023-02-13,APP-0005,CH-WE-01,3,75.93,37.37,0.0,227.79,112.11
SL-0000097,2023-02-13,APP-0005,CH-ON-01,4,75.93,39.17,0.0,303.72,156.68
SL-0000098,2023-02-14,HOM-0032,CH-NE-01,2,30.43,14.63,0.0,60.86,29.26
SL-0000099,2023-02-14,APP-0005,CH-MW-01,1,75.93,36.67,0.0,75.93,36.67
SL-0000100,2023-02-14,HOM-0032,CH-MW-01,2,30.43,13.82,0.0,60.86,27.64
SL-0000101,2023-02-14,APP-0005,CH-WE-01,1,75.93,39.05,0.0,75.93,39.05
SL-0000102,2023-02-14,APP-0005,CH-ON-01,2,75.93,37.1,0.0,151.86,74.2
SL-0000103,2023-02-14,HOM-0032,CH-ON-01,2,30.43,14.06,0.0,60.86,28.12
SL-0000104,2023-02-15,HOM-0032,CH-NE-01,3,30.43,13.86,0.0,91.29,41.58
SL-0000105,2023-02-15,APP-0005,CH-WE-01,4,75.93,37.9,0.0,303.72,151.6
SL-0000106,2023-02-16,APP-0005,CH-NE-01,3,75.93,37.17,0.0,227.79,111.51
SL-0000107,2023-02-16,HOM-0032,CH-NE-01,3,30.43,13.84,0.0,91.29,41.52
SL-0000108,2023-02-16,HOM-0032,CH-WE-01,2,30.43,14.38,0.0,60.86,28.76
SL-0000109,2023-02-16,HOM-0032,CH-ON-01,1,30.43,14.47,0.0,30.43,14.47
SL-0000110,2023-02-17,HOM-0032,CH-NE-01,3,30.43,14.61,0.0,91.29,43.83
SL-0000111,2023-02-17,APP-0005,CH-MW-01,2,75.93,37.89,0.0,151.86,75.78
SL-0000112,2023-02-17,HOM-0032,CH-WE-01,4,30.43,14.0,0.0,121.72,56.0
SL-0000113,2023-02-17,HOM-0032,CH-ON-01,6,30.43,14.54,0.0,182.58,87.24
SL-0000114,2023-02-18,APP-0005,CH-NE-01,2,75.93,37.52,0.0,151.86,75.04
SL-0000115,2023-02-18,HOM-0032,CH-MW-01,4,30.43,14.64,0.0,121.72,58.56
SL-0000116,2023-02-18,HOM-0032,CH-WE-01,2,30.43,14.53,0.0,60.86,29.06
SL-0000117,2023-02-18,APP-0005,CH-ON-01,4,75.93,37.64,0.0,303.72,150.56
SL-0000118,2023-02-18,HOM-0032,CH-ON-01,3,30.43,14.21,0.0,91.29,42.63
SL-0000119,2023-02-19,HOM-0032,CH-NE-01,4,30.43,14.01,0.0,121.72,56.04
SL-0000120,2023-02-19,APP-0005,CH-WE-01,1,75.93,37.16,0.0,75.93,37.16
SL-0000121,2023-02-19,HOM-0032,CH-WE-01,3,30.43,13.95,0.0,91.29,41.85
SL-0000122,2023-02-19,HOM-0032,CH-ON-01,3,30.43,14.27,0.0,91.29,42.81
SL-0000123,2023-02-20,HOM-0032,CH-MW-01,2,30.43,14.15,0.0,60.86,28.3
SL-0000124,2023-02-20,HOM-0032,CH-WE-01,2,30.43,14.03,0.0,60.86,28.06
SL-0000125,2023-02-20,APP-0005,CH-ON-01,1,75.93,37.12,0.0,75.93,37.12
SL-0000126,2023-02-20,APP-0005,CH-WS-01,2,75.93,38.94,0.0,151.86,77.88
SL-0000127,2023-02-21,APP-0005,CH-NE-01,2,75.93,38.26,0.0,151.86,76.52
SL-0000128,2023-02-21,APP-0005,CH-MW-01,2,75.93,38.31,0.0,151.86,76.62
SL-0000129,2023-02-21,HOM-0032,CH-WE-01,3,30.43,14.61,0.0,91.29,43.83
SL-0000130,2023-02-21,APP-0005,CH-ON-01,3,75.93,38.95,0.0,227.79,116.85
SL-0000131,2023-02-22,APP-0005,CH-MW-01,2,75.93,38.7,0.0,151.86,77.4
SL-0000132,2023-02-22,HOM-0032,CH-WE-01,5,30.43,13.76,0.0,152.15,68.8
SL-0000133,2023-02-23,APP-0005,CH-NE-01,2,75.93,38.82,0.0,151.86,77.64
SL-0000134,2023-02-23,HOM-0032,CH-WE-01,2,30.43,14.66,0.0,60.86,29.32
SL-0000135,2023-02-23,HOM-0032,CH-ON-01,6,30.43,14.13,0.0,182.58,84.78
SL-0000136,2023-02-24,APP-0005,CH-NE-01,4,75.93,37.91,0.0,303.72,151.64
SL-0000137,2023-02-24,HOM-0032,CH-NE-01,2,30.43,13.83,0.0,60.86,27.66
SL-0000138,2023-02-24,APP-0005,CH-WE-01,3,75.93,36.68,0.0,227.79,110.04
SL-0000139,2023-02-25,APP-0005,CH-NE-01,5,75.93,38.26,0.0,379.65,191.3
SL-0000140,2023-02-25,APP-0005,CH-WE-01,4,75.93,37.09,0.0,303.72,148.36
SL-0000141,2023-02-25,HOM-0032,CH-WE-01,3,30.43,14.26,0.0,91.29,42.78
SL-0000142,2023-02-25,HOM-0032,CH-WS-01,1,30.43,14.24,0.0,30.43,14.24
SL-0000143,2023-02-26,APP-0005,CH-NE-01,2,75.93,36.67,0.0,151.86,73.34
SL-0000144,2023-02-26,HOM-0032,CH-NE-01,1,30.43,13.82,0.0,30.43,13.82
SL-0000145,2023-02-26,HOM-0032,CH-MW-01,2,30.43,14.57,0.0,60.86,29.14
SL-0000146,2023-02-26,APP-0005,CH-ON-01,1,75.93,38.18,0.0,75.93,38.18
SL-0000147,2023-02-26,HOM-0032,CH-ON-01,1,30.43,14.51,0.0,30.43,14.51
SL-0000148,2023-02-26,APP-0005,CH-WS-01,3,75.93,36.88,0.0,227.79,110.64
SL-0000149,2023-02-27,HOM-0032,CH-NE-01,5,30.43,14.53,0.0,152.15,72.65
SL-0000150,2023-02-27,HOM-0032,CH-WE-01,1,30.43,14.68,0.0,30.43,14.68
SL-0000151,2023-02-28,APP-0005,CH-NE-01,5,75.93,37.75,0.0,379.65,188.75
SL-0000152,2023-02-28,HOM-0032,CH-NE-01,1,30.43,14.03,0.0,30.43,14.03
SL-0000153,2023-02-28,APP-0005,CH-MW-01,3,75.93,37.26,0.0,227.79,111.78
SL-0000154,2023-02-28,HOM-0032,CH-WE-01,2,30.43,14.17,0.0,60.86,28.34
SL-0000155,2023-03-01,HOM-0032,CH-MW-01,1,30.43,14.37,0.0,30.43,14.37
SL-0000156,2023-03-01,APP-0005,CH-WE-01,2,75.93,37.53,0.0,151.86,75.06
SL-0000157,2023-03-01,APP-0005,CH-ON-01,6,75.93,38.07,0.0,455.58,228.42
SL-0000158,2023-03-02,APP-0005,CH-MW-01,1,75.93,38.85,0.0,75.93,38.85
SL-0000159,2023-03-02,APP-0005,CH-WE-01,3,75.93,36.93,0.0,227.79,110.79
SL-0000160,2023-03-03,APP-0005,CH-NE-01,1,75.93,38.88,0.0,75.93,38.88
SL-0000161,2023-03-03,HOM-0032,CH-NE-01,6,30.43,13.97,0.0,182.58,83.82
SL-0000162,2023-03-03,APP-0005,CH-WE-01,2,75.93,38.54,0.0,151.86,77.08
SL-0000163,2023-03-03,APP-0005,CH-ON-01,6,75.93,38.23,0.0,455.58,229.38
SL-0000164,2023-03-03,HOM-0032,CH-ON-01,3,30.43,14.54,0.0,91.29,43.62
SL-0000165,2023-03-03,APP-0005,CH-WS-01,3,75.93,37.38,0.0,227.79,112.14
SL-0000166,2023-03-04,APP-0005,CH-NE-01,3,75.93,38.29,0.0,227.79,114.87
SL-0000167,2023-03-04,HOM-0032,CH-MW-01,4,30.43,14.53,0.0,121.72,58.12
SL-0000168,2023-03-04,APP-0005,CH-WE-01,3,75.93,39.11,0.0,227.79,117.33
SL-0000169,2023-03-04,APP-0005,CH-ON-01,3,75.93,37.39,0.0,227.79,112.17
SL-0000170,2023-03-05,APP-0005,CH-MW-01,1,75.93,37.02,0.0,75.93,37.02
SL-0000171,2023-03-05,APP-0005,CH-ON-01,6,75.93,39.0,0.0,455.58,234.0
SL-0000172,2023-03-06,APP-0005,CH-NE-01,2,75.93,36.8,0.0,151.86,73.6
SL-0000173,2023-03-06,APP-0005,CH-MW-01,2,75.93,37.3,0.0,151.86,74.6
SL-0000174,2023-03-06,APP-0005,CH-WE-01,7,75.93,37.01,0.0,531.51,259.07
SL-0000175,2023-03-06,HOM-0032,CH-ON-01,2,30.43,13.81,0.0,60.86,27.62
SL-0000176,2023-03-07,HOM-0032,CH-MW-01,3,30.43,14.31,0.0,91.29,42.93
SL-0000177,2023-03-07,APP-0005,CH-WE-01,1,75.93,38.28,0.0,75.93,38.28
SL-0000178,2023-03-07,HOM-0032,CH-WE-01,4,30.43,13.94,0.0,121.72,55.76
SL-0000179,2023-03-07,APP-0005,CH-ON-01,4,75.93,38.34,0.0,303.72,153.36
SL-0000180,2023-03-07,HOM-0032,CH-ON-01,2,30.43,13.85,0.0,60.86,27.7
SL-0000181,2023-03-07,HOM-0032,CH-WS-01,2,30.43,14.67,0.0,60.86,29.34
SL-0000182,2023-03-08,APP-0005,CH-NE-01,3,75.93,37.81,0.0,227.79,113.43
SL-0000183,2023-03-08,APP-0005,CH-MW-01,1,75.93,36.89,0.0,75.93,36.89
SL-0000184,2023-03-08,APP-0005,CH-WE-01,2,75.93,36.84,0.0,151.86,73.68
SL-0000185,2023-03-08,HOM-0032,CH-WE-01,2,30.43,14.15,0.0,60.86,28.3
SL-0000186,2023-03-08,APP-0005,CH-ON-01,6,75.93,37.57,0.0,455.58,225.42
SL-0000187,2023-03-08,HOM-0032,CH-ON-01,2,30.43,14.03,0.0,60.86,28.06
SL-0000188,2023-03-08,APP-0005,CH-WS-01,1,75.93,37.3,0.0,75.93,37.3
SL-0000189,2023-03-09,APP-0005,CH-NE-01,2,75.93,36.74,0.0,151.86,73.48
SL-0000190,2023-03-09,APP-0005,CH-WE-01,3,75.93,38.0,0.0,227.79,114.0
SL-0000191,2023-03-09,APP-0005,CH-ON-01,2,75.93,37.62,0.0,151.86,75.24
SL-0000192,2023-03-09,HOM-0032,CH-ON-01,2,30.43,13.71,0.0,60.86,27.42
SL-0000193,2023-03-10,APP-0005,CH-NE-01,1,75.93,37.66,0.0,75.93,37.66
SL-0000194,2023-03-10,HOM-0032,CH-NE-01,2,30.43,14.18,0.0,60.86,28.36
SL-0000195,2023-03-10,APP-0005,CH-MW-01,2,75.93,37.31,0.0,151.86,74.62
SL-0000196,2023-03-10,HOM-0032,CH-MW-01,1,30.43,14.47,0.0,30.43,14.47
SL-0000197,2023-03-10,APP-0005,CH-WE-01,7,75.93,36.73,0.0,531.51,257.11
SL-0000198,2023-03-10,APP-0005,CH-WS-01,3,75.93,37.18,0.0,227.79,111.54
SL-0000199,2023-03-11,HOM-0032,CH-NE-01,6,30.43,14.25,0.0,182.58,85.5
SL-0000200,2023-03-11,APP-0005,CH-WE-01,2,75.93,38.61,0.0,151.86,77.22
SL-0000201,2023-03-11,HOM-0032,CH-WE-01,1,30.43,13.73,0.0,30.43,13.73
SL-0000202,2023-03-11,HOM-0032,CH-ON-01,4,30.43,14.34,0.0,121.72,57.36
SL-0000203,2023-03-12,APP-0005,CH-NE-01,2,75.93,39.11,0.0,151.86,78.22
SL-0000204,2023-03-12,HOM-0032,CH-NE-01,3,30.43,14.34,0.0,91.29,43.02
SL-0000205,2023-03-12,HOM-0032,CH-WE-01,1,30.43,14.5,0.0,30.43,14.5
SL-0000206,2023-03-12,APP-0005,CH-ON-01,5,75.93,38.84,0.0,379.65,194.2
SL-0000207,2023-03-12,HOM-0032,CH-ON-01,4,30.43,14.22,0.0,121.72,56.88
SL-0000208,2023-03-13,HOM-0032,CH-NE-01,2,30.43,14.5,0.0,60.86,29.0
SL-0000209,2023-03-13,APP-0005,CH-MW-01,3,75.93,37.95,0.0,227.79,113.85
SL-0000210,2023-03-13,APP-0005,CH-WE-01,2,75.93,37.27,0.0,151.86,74.54
SL-0000211,2023-03-13,APP-0005,CH-ON-01,1,75.93,39.26,0.0,75.93,39.26
SL-0000212,2023-03-14,HOM-0032,CH-NE-01,3,30.43,13.76,0.0,91.29,41.28
SL-0000213,2023-03-14,HOM-0032,CH-MW-01,3,30.43,14.64,0.0,91.29,43.92
SL-0000214,2023-03-14,APP-0005,CH-ON-01,4,75.93,38.15,0.0,303.72,152.6
SL-0000215,2023-03-15,APP-0005,CH-NE-01,1,75.93,36.78,0.0,75.93,36.78
SL-0000216,2023-03-15,HOM-0032,CH-MW-01,4,30.43,14.2,0.0,121.72,56.8
SL-0000217,2023-03-15,APP-0005,CH-WS-01,2,75.93,39.18,0.0,151.86,78.36
SL-0000218,2023-03-16,APP-0005,CH-NE-01,5,75.93,38.67,0.0,379.65,193.35
SL-0000219,2023-03-16,APP-0005,CH-MW-01,5,75.93,38.84,0.0,379.65,194.2
SL-0000220,2023-03-16,HOM-0032,CH-MW-01,2,30.43,13.73,0.0,60.86,27.46
SL-0000221,2023-03-16,APP-0005,CH-WE-01,1,75.93,37.8,0.0,75.93,37.8
SL-0000222,2023-03-16,HOM-0032,CH-WE-01,2,30.43,14.62,0.0,60.86,29.24
SL-0000223,2023-03-17,APP-0005,CH-NE-01,5,75.93,37.91,0.0,379.65,189.55
SL-0000224,2023-03-17,APP-0005,CH-MW-01,6,75.93,38.07,0.0,455.58,228.42
SL-0000225,2023-03-17,APP-0005,CH-ON-01,5,75.93,38.4,0.0,379.65,192.0
SL-0000226,2023-03-17,HOM-0032,CH-ON-01,6,30.43,14.41,0.0,182.58,86.46
SL-0000227,2023-03-17,APP-0005,CH-WS-01,3,75.93,39.26,0.0,227.79,117.78
SL-0000228,2023-03-18,HOM-0032,CH-MW-01,4,30.43,13.92,0.0,121.72,55.68
SL-0000229,2023-03-18,APP-0005,CH-WE-01,2,75.93,36.82,0.0,151.86,73.64
SL-0000230,2023-03-18,APP-0005,CH-ON-01,2,75.93,37.38,0.0,151.86,74.76
SL-0000231,2023-03-18,HOM-0032,CH-ON-01,3,30.43,14.24,0.0,91.29,42.72
SL-0000232,2023-03-18,HOM-0032,CH-WS-01,1,30.43,13.87,0.0,30.43,13.87
SL-0000233,2023-03-19,HOM-0032,CH-NE-01,1,30.43,13.79,0.0,30.43,13.79
SL-0000234,2023-03-19,APP-0005,CH-MW-01,2,75.93,36.94,0.0,151.86,73.88
SL-0000235,2023-03-19,HOM-0032,CH-MW-01,1,30.43,14.02,0.0,30.43,14.02
SL-0000236,2023-03-19,HOM-0032,CH-WE-01,2,30.43,14.0,0.0,60.86,28.0
SL-0000237,2023-03-19,APP-0005,CH-ON-01,3,75.93,36.99,0.0,227.79,110.97
SL-0000238,2023-03-19,HOM-0032,CH-ON-01,5,30.43,14.33,0.0,152.15,71.65
SL-0000239,2023-03-20,HOM-0032,CH-NE-01,5,30.43,14.57,0.0,152.15,72.85
SL-0000240,2023-03-20,HOM-0032,CH-WE-01,1,30.43,13.73,0.0,30.43,13.73
SL-0000241,2023-03-20,HOM-0032,CH-ON-01,3,30.43,14.05,0.0,91.29,42.15
SL-0000242,2023-03-20,HOM-0032,CH-WS-01,1,30.43,13.9,0.0,30.43,13.9
SL-0000243,2023-03-21,APP-0005,CH-NE-01,3,75.93,38.42,0.0,227.79,115.26
SL-0000244,2023-03-21,HOM-0032,CH-NE-01,2,30.43,14.45,0.0,60.86,28.9
SL-0000245,2023-03-21,HOM-0032,CH-MW-01,2,30.43,14.23,0.0,60.86,28.46
SL-0000246,2023-03-21,APP-0005,CH-ON-01,3,75.93,37.93,0.0,227.79,113.79
SL-0000247,2023-03-22,APP-0005,CH-NE-01,3,75.93,37.34,0.0,227.79,112.02
SL-0000248,2023-03-22,APP-0005,CH-MW-01,3,75.93,38.96,0.0,227.79,116.88
SL-0000249,2023-03-22,HOM-0032,CH-WE-01,4,30.43,14.18,0.0,121.72,56.72
SL-0000250,2023-03-23,APP-0005,CH-MW-01,2,75.93,38.0,0.0,151.86,76.0
SL-0000251,2023-03-23,HOM-0032,CH-WE-01,2,30.43,13.93,0.0,60.86,27.86
SL-0000252,2023-03-23,HOM-0032,CH-ON-01,3,30.43,14.02,0.0,91.29,42.06
SL-0000253,2023-03-24,APP-0005,CH-MW-01,1,75.93,38.97,0.0,75.93,38.97
SL-0000254,2023-03-24,HOM-0032,CH-MW-01,1,30.43,14.52,0.0,30.43,14.52
SL-0000255,2023-03-24,APP-0005,CH-WE-01,4,75.93,38.23,0.0,303.72,152.92
SL-0000256,2023-03-24,HOM-0032,CH-WE-01,2,30.43,14.45,0.0,60.86,28.9
SL-0000257,2023-03-24,APP-0005,CH-ON-01,5,75.93,37.92,0.0,379.65,189.6
SL-0000258,2023-03-24,HOM-0032,CH-WS-01,2,30.43,14.16,0.0,60.86,28.32
SL-0000259,2023-03-25,APP-0005,CH-NE-01,6,75.93,37.31,0.0,455.58,223.86
SL-0000260,2023-03-25,HOM-0032,CH-WE-01,4,30.43,14.17,0.0,121.72,56.68
SL-0000261,2023-03-25,HOM-0032,CH-ON-01,3,30.43,14.04,0.0,91.29,42.12
SL-0000262,2023-03-26,APP-0005,CH-MW-01,2,75.93,38.86,0.0,151.86,77.72
SL-0000263,2023-03-26,APP-0005,CH-WE-01,2,75.93,37.87,0.0,151.86,75.74
SL-0000264,2023-03-26,HOM-0032,CH-WE-01,3,30.43,14.42,0.0,91.29,43.26
SL-0000265,2023-03-26,APP-0005,CH-ON-01,4,75.93,36.98,0.0,303.72,147.92
SL-0000266,2023-03-26,HOM-0032,CH-ON-01,2,30.43,14.45,0.0,60.86,28.9
SL-0000267,2023-03-27,APP-0005,CH-NE-01,2,75.93,37.98,0.0,151.86,75.96
SL-0000268,2023-03-27,APP-0005,CH-WE-01,2,75.93,36.9,0.0,151.86,73.8
SL-0000269,2023-03-27,HOM-0032,CH-WE-01,1,30.43,14.57,0.0,30.43,14.57
SL-0000270,2023-03-27,APP-0005,CH-ON-01,3,75.93,37.03,0.0,227.79,111.09
SL-0000271,2023-03-28,HOM-0031,CH-MW-01,1,28.96,12.41,0.0,28.96,12.41
SL-0000272,2023-03-28,HOM-0032,CH-MW-01,4,30.43,14.02,0.0,121.72,56.08
SL-0000273,2023-03-28,APP-0005,CH-WE-01,6,75.93,38.67,0.0,455.58,232.02
SL-0000274,2023-03-28,HOM-0031,CH-WE-01,2,28.96,12.72,0.0,57.92,25.44
SL-0000275,2023-03-28,HOM-0031,CH-ON-01,3,28.96,13.12,0.0,86.88,39.36
